Pool name, Weekday, Start time, End time, Note
Balboa Pool,Saturday,12:30PM,2:00PM,Family Swim
Balboa Pool,Saturday,2:30PM,3:30PM,Family Swim
Balboa Pool,Saturday,4:00PM,5:00PM,Parent Child Swim on Steps
Balboa Pool,Tuesday,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa Pool,Tuesday,12:30PM,2:00PM,Parent Child Swim on Steps
Balboa Pool,Tuesday,2:30PM,3:30PM,Family Swim
Balboa Pool,Wednesday,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa Pool,Wednesday,9:00AM,10:15AM,Parent Child Swim on Steps
Balboa Pool,Wednesday,11:00AM,12:00PM,Parent Child Swim
Balboa Pool,Wednesday,12:30PM,2:00PM,Parent Child Swim on Steps
Balboa Pool,Wednesday,2:00PM,3:00PM,Family Swim
Balboa Pool,Thursday,2:30PM,5:00PM,Parent Child Swim on Steps
Balboa Pool,Thursday,5:45PM,7:00PM,Family Swim
Balboa Pool,Friday,1:30PM,3:00PM,Parent Child Swim on Steps
Coffman Pool,Saturday,1:00PM,2:00PM,Parent Child Swim
Coffman Pool,Tuesday,1:30PM,2:30PM,Family Swim
Coffman Pool,Tuesday,2:00PM,4:00PM,Family Swim
Coffman Pool,Wednesday,2:30PM,4:00PM,Family Swim
Coffman Pool,Thursday,2:00PM,3:00PM,Family Swim
Coffman Pool,Friday,2:30PM,3:45PM,Family Swim
Garfield Pool,Sunday,7:00AM,8:45AM,Parent Child Swim in Small Pool
Garfield Pool,Sunday,11:00AM,12:30PM,Parent Child Swim in Small Pool
Garfield Pool,Sunday,12:30PM,2:00PM,Family Swim
Garfield Pool,Sunday,2:30PM,4:00PM,Family Swim in Small Pool
Garfield Pool,Sunday,4:30PM,6:00PM,Parent Child Swim in Small Pool
Garfield Pool,Monday,7:00AM,8:45AM,Parent Child Swim in Small Pool
Garfield Pool,Monday,11:00AM,1:00PM,Parent Child Swim in Small Pool
Garfield Pool,Monday,2:00PM,3:45PM,Family Swim in Small Pool
Garfield Pool,Monday,4:30PM,6:00PM,Family Swim in Small Pool
Garfield Pool,Tuesday,11:00AM,1:00PM,Parent Child Swim in Small Pool
Garfield Pool,Tuesday,2:00PM,3:30PM,Family Swim in Small Pool
Garfield Pool,Tuesday,3:45PM,5:30PM,Family Swim in Small Pool
Garfield Pool,Wednesday,7:00AM,8:45AM,Parent Child Swim in Small Pool
Garfield Pool,Wednesday,11:00AM,2:00PM,Parent Child Swim in Small Pool
Garfield Pool,Wednesday,2:00PM,3:45PM,Family Swim in Small Pool
Garfield Pool,Wednesday,4:30PM,7:00PM,Family Swim in Small Pool
Garfield Pool,Thursday,11:00AM,1:00PM,Parent Child Swim in Small Pool
Garfield Pool,Thursday,2:30PM,3:30PM,Family Swim in Small Pool
Garfield Pool,Thursday,3:45PM,5:30PM,Family Swim in Small Pool
Hamilton Pool,Saturday,9:00AM,10:30AM,Family Swim in Small Pool
Hamilton Pool,Saturday,1:30PM,3:30PM,Family Swim
Hamilton Pool,Saturday,4:00PM,5:00PM,Family Swim in Small Pool
Hamilton Pool,Tuesday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton Pool,Tuesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton Pool,Tuesday,1:00PM,3:00PM,Family Swim
Hamilton Pool,Wednesday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton Pool,Wednesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton Pool,Wednesday,1:00PM,3:30PM,Family Swim
Hamilton Pool,Wednesday,6:30PM,8:00PM,Family Swim in Small Pool
Hamilton Pool,Thursday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton Pool,Thursday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton Pool,Thursday,1:00PM,3:30PM,Family Swim
Hamilton Pool,Friday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton Pool,Friday,6:30PM,8:00PM,Family Swim
Martin Luther King Jr Pool,Saturday,2:00PM,3:30PM,Family Swim
Martin Luther King Jr Pool,Tuesday,2:15PM,3:15PM,Family Swim
Martin Luther King Jr Pool,Wednesday,2:15PM,3:15PM,Family Swim
Martin Luther King Jr Pool,Thursday,11:00AM,3:30PM,Family Swim
Martin Luther King Jr Pool,Thursday,2:15PM,3:15PM,Family Swim
Martin Luther King Jr Pool,Friday,2:15PM,3:15PM,Family Swim
Mission Community Pool,Saturday,2:00PM,3:15PM,Family Swim
Mission Community Pool,Tuesday,9:30AM,10:45AM,Family Swim
Mission Community Pool,Wednesday,2:30PM,3:45PM,Family Swim
Mission Community Pool,Wednesday,4:00PM,6:00PM,Family Swim
Mission Community Pool,Thursday,9:30AM,10:45AM,Family Swim
Mission Community Pool,Thursday,3:00PM,5:00PM,Family Swim
Mission Community Pool,Friday,2:30PM,3:45PM,Family Swim
Mission Community Pool,Friday,4:00PM,6:00PM,Family Swim
North Beach Pool,Saturday,1:45PM,3:00PM,Family Swim
