Pool name, Weekday, Start time, End time, Note
Garfield Pool,Sunday,12:30PM,2:00PM,Family Swim in Small Pool
Garfield Pool,Sunday,2:30PM,4:00PM,Family Swim
Garfield Pool,Monday,7:00AM,8:45AM,Family Swim
Garfield Pool,Monday,11:00AM,1:00PM,Parent Child Swim in Small Pool
Garfield Pool,Monday,2:00PM,3:45PM,Family Swim
Garfield Pool,Monday,4:30PM,6:00PM,Family Swim
Garfield Pool,Tuesday,7:00AM,8:45AM,Family Swim
Garfield Pool,Tuesday,11:00AM,1:00PM,Parent Child Swim in Small Pool
Garfield Pool,Tuesday,2:00PM,3:30PM,Family Swim
Garfield Pool,Wednesday,7:00AM,8:45AM,Family Swim
Garfield Pool,Wednesday,11:00AM,1:00PM,Parent Child Swim in Small Pool
Garfield Pool,Wednesday,2:00PM,3:30PM,Family Swim
Garfield Pool,Wednesday,3:30PM,3:45PM,Parent Child Swim in Small Pool
Garfield Pool,Wednesday,3:45PM,5:30PM,Family Swim
Garfield Pool,Wednesday,5:30PM,7:00PM,Parent Child Swim in Small Pool
Garfield Pool,Thursday,7:00AM,8:45AM,Family Swim
Garfield Pool,Thursday,11:00AM,2:15PM,Parent Child Swim in Small Pool
Garfield Pool,Thursday,2:30PM,3:30PM,Family Swim
Hamilton Pool,Saturday,9:00AM,10:30AM,Family Swim in Small Pool
Hamilton Pool,Saturday,1:30PM,3:30PM,Family Swim
Hamilton Pool,Saturday,4:00PM,5:00PM,Family Swim in Small Pool
Hamilton Pool,Tuesday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton Pool,Tuesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton Pool,Tuesday,1:00PM,3:00PM,Family Swim
Hamilton Pool,Wednesday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton Pool,Wednesday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton Pool,Wednesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton Pool,Wednesday,1:00PM,3:30PM,Family Swim
Hamilton Pool,Wednesday,6:30PM,8:00PM,Family Swim in Small Pool
Hamilton Pool,Thursday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton Pool,Thursday,1:00PM,3:30PM,Family Swim
Hamilton Pool,Friday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton Pool,Friday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton Pool,Friday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton Pool,Friday,1:00PM,3:30PM,Family Swim
Hamilton Pool,Friday,6:30PM,8:00PM,Family Swim
Martin Luther King Jr Pool,Saturday,2:00PM,3:30PM,Family Swim
Martin Luther King Jr Pool,Tuesday,2:15PM,3:15PM,Family Swim
Martin Luther King Jr Pool,Wednesday,2:15PM,3:15PM,Family Swim
Martin Luther King Jr Pool,Friday,2:15PM,3:15PM,Family Swim
Mission Community Pool,Saturday,2:00PM,3:15PM,Family Swim
Mission Community Pool,Tuesday,9:30AM,10:45AM,Family Swim
Mission Community Pool,Wednesday,2:30PM,3:45PM,Family Swim
Mission Community Pool,Thursday,9:30AM,10:45AM,Family Swim
Mission Community Pool,Thursday,3:00PM,5:00PM,Family Swim
Mission Community Pool,Friday,4:00PM,6:00PM,Family Swim
North Beach Pool,Saturday,1:45PM,3:00PM,Family Swim
North Beach Pool,Saturday,3:30PM,5:00PM,Family Swim
North Beach Pool,Tuesday,3:30PM,5:00PM,Family Swim
North Beach Pool,Tuesday,5:30PM,6:30PM,Family Swim
North Beach Pool,Wednesday,4:15PM,5:30PM,Family Swim
North Beach Pool,Thursday,4:15PM,5:30PM,Family Swim
North Beach Pool,Thursday,5:30PM,7:00PM,Family Swim
North Beach Pool,Friday,4:15PM,5:30PM,Family Swim
North Beach Pool,Friday,5:30PM,7:00PM,Family Swim
Sava Pool,Saturday,9:00AM,11:00AM,Family Swim
Sava Pool,Saturday,11:30AM,3:00PM,Family Swim
Sava Pool,Tuesday,3:00PM,5:00PM,Family Swim
Sava Pool,Wednesday,3:00PM,5:00PM,Family Swim
Sava Pool,Thursday,3:00PM,5:00PM,Family Swim
Sava Pool,Friday,11:30AM,3:00PM,Family Swim
Sava Pool,Friday,4:00PM,7:30PM,Family Swim
