Pool name, Weekday, Start time, End time, Note
Balboa Pool,Saturday,12:30PM,2:00PM,Family Swim
Balboa Pool,Saturday,2:30PM,3:30PM,Family Swim
Balboa Pool,Saturday,4:00PM,5:00PM,Parent Child Swim on Steps
Balboa Pool,Tuesday,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa Pool,Tuesday,12:30PM,2:00PM,Parent Child Swim on Steps
Balboa Pool,Tuesday,2:30PM,3:30PM,Parent Child Swim on Steps
Balboa Pool,Wednesday,9:00AM,10:15AM,Parent Child Swim on Steps
Balboa Pool,Wednesday,2:00PM,3:00PM,Family Swim (shallow)
Balboa Pool,Thursday,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa Pool,Thursday,11:30AM,2:00PM,Parent Child Swim on Steps
Balboa Pool,Thursday,2:30PM,4:00PM,Parent Child Swim on Steps
Balboa Pool,Thursday,6:00PM,7:30PM,Family Swim
Balboa Pool,Friday,1:30PM,3:00PM,Parent Child Swim on Steps
Martin Luther King Jr Pool,Saturday,2:00PM,3:30PM,Family Swim - 10
Martin Luther King Jr Pool,Tuesday,12:30PM,3:30PM,Family Swim (shallow)
Martin Luther King Jr Pool,Wednesday,12:30PM,3:30PM,Family Swim (shallow)
Martin Luther King Jr Pool,Thursday,12:30PM,3:30PM,Family Swim (shallow)
Martin Luther King Jr Pool,Friday,12:30PM,3:30PM,Family Swim (shallow)
North Beach Pool,Saturday,1:45PM,3:00PM,Family Swim
North Beach Pool,Saturday,3:30PM,5:00PM,Family Swim
North Beach Pool,Tuesday,3:30PM,5:00PM,Family Swim
North Beach Pool,Wednesday,5:30PM,6:30PM,Family Swim
North Beach Pool,Thursday,4:15PM,5:30PM,Family Swim
North Beach Pool,Friday,9:00AM,10:15AM,Family Swim
North Beach Pool,Friday,5:30PM,7:00PM,Family Swim
Rossi Pool,Sunday,12:30PM,2:00PM,Family Swim
Rossi Pool,Sunday,2:30PM,3:30PM,Family Swim
Rossi Pool,Tuesday,6:15PM,7:30PM,Family Swim - (2 lanes)**
Rossi Pool,Wednesday,2:00PM,3:30PM,Family Swim - 2 lanes
Rossi Pool,Thursday,6:15PM,7:30PM,Family Swim - 3 lanes
